name,id,box_art_url
Just Chatting,509658,https://static-cdn.jtvnw.net/ttv-boxart/509658-{width}x{height}.jpg
League of Legends,21779,https://static-cdn.jtvnw.net/ttv-boxart/21779-{width}x{height}.jpg
VALORANT,516575,https://static-cdn.jtvnw.net/ttv-boxart/516575-{width}x{height}.jpg
Grand Theft Auto V,32982,https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-{width}x{height}.jpg
Apex Legends,511224,https://static-cdn.jtvnw.net/ttv-boxart/511224-{width}x{height}.jpg
Dota 2,29595,https://static-cdn.jtvnw.net/ttv-boxart/29595-{width}x{height}.jpg
Slots,498566,https://static-cdn.jtvnw.net/ttv-boxart/498566-{width}x{height}.jpg
Call of Duty: Warzone,512710,https://static-cdn.jtvnw.net/ttv-boxart/512710-{width}x{height}.jpg
Counter-Strike: Global Offensive,32399,https://static-cdn.jtvnw.net/ttv-boxart/32399_IGDB-{width}x{height}.jpg
eBaseball Powerful Pro Yakyuu 2022,405215881,https://static-cdn.jtvnw.net/ttv-boxart/405215881_IGDB-{width}x{height}.jpg
Lost Ark,490100,https://static-cdn.jtvnw.net/ttv-boxart/490100-{width}x{height}.jpg
Fortnite,33214,https://static-cdn.jtvnw.net/ttv-boxart/33214-{width}x{height}.jpg
Hearthstone,138585,https://static-cdn.jtvnw.net/ttv-boxart/138585_IGDB-{width}x{height}.jpg
Sports,518203,https://static-cdn.jtvnw.net/ttv-boxart/518203-{width}x{height}.jpg
World of Warcraft,18122,https://static-cdn.jtvnw.net/ttv-boxart/18122-{width}x{height}.jpg
Dead by Daylight,491487,https://static-cdn.jtvnw.net/ttv-boxart/491487-{width}x{height}.jpg
PUBG: BATTLEGROUNDS,493057,https://static-cdn.jtvnw.net/ttv-boxart/493057-{width}x{height}.jpg
Elden Ring,512953,https://static-cdn.jtvnw.net/ttv-boxart/512953_IGDB-{width}x{height}.jpg
Tom Clancy's Rainbow Six Siege,460630,https://static-cdn.jtvnw.net/ttv-boxart/460630-{width}x{height}.jpg
Overwatch,488552,https://static-cdn.jtvnw.net/ttv-boxart/488552-{width}x{height}.jpg
Vampire: The Masquerade - Bloodhunt,1411398523,https://static-cdn.jtvnw.net/ttv-boxart/1411398523_IGDB-{width}x{height}.jpg
Minecraft,27471,https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-{width}x{height}.jpg
Final Fantasy XIV Online,24241,https://static-cdn.jtvnw.net/ttv-boxart/24241_IGDB-{width}x{height}.jpg
